地点：海南,海口市,天气状况：阴,温度：17,摄氏度,风向：东,风力：≤3,湿度：73%
155,I,I,T,1.1194,,,
156,I,I,T,0.7254,,,
157,I,I,T,1.2333,,,
158,N,N,T,0.6749,,,
159,I,I,T,1.0459,,,
160,I,I,T,0.8957,,,
161,I,I,T,1.3366,,,
162,I,I,T,0.6505,,,
163,N,N,T,1.0731,,,
164,I,I,T,0.661,,,
165,N,N,T,0.9353,,,
166,I,I,T,0.8168,,,
167,I,I,T,0.4651,,,
168,N,N,T,0.8455,,,
169,I,I,T,0.5857,,,
170,I,I,T,0.6999,,,
171,I,N,F,0.913,,,
172,I,Y,F,0.3893,,,
173,I,I,T,0.7426,,,
174,I,I,T,0.5415,,,
175,I,I,T,0.6886,,,
176,I,I,T,0.6547,,,
177,I,I,T,0.4338,,,
178,I,I,T,0.4722,,,
179,N,I,F,0.3623,,,
180,I,I,T,1.0588,,,
181,I,I,T,1.7677,,,
182,I,I,T,0.3631,,,
183,I,I,T,0.5136,,,
184,I,I,T,0.81,,,
185,I,I,T,0.4953,,,
186,I,I,T,0.7413,,,
187,I,N,F,1.1426,,,
188,I,I,T,0.7338,,,
189,I,I,T,0.3307,,,
190,N,N,T,1.502,,,
191,N,Y,F,1.1801,,,
192,I,I,T,1.3223,,,
193,I,I,T,0.5403,,,
194,I,N,F,0.9728,,,
195,Y,Y,T,1.208,,,
196,N,Y,F,1.1103,,,
197,I,I,T,0.8404,,,
198,I,I,T,0.6014,,,
199,I,I,T,0.818,,,
200,I,I,T,1.0481,,,
201,I,I,T,1.381,,,
202,I,I,T,0.3902,,,
203,I,N,F,0.7873,,,
204,Y,Y,T,0.7558,,,
205,I,Y,F,0.7648,,,
206,I,I,T,0.8124,,,
207,I,I,T,0.6658,,,
208,I,I,T,0.3833,,,
209,N,N,T,0.8628,,,
210,I,I,T,0.892,,,
211,I,I,T,0.4184,,,
212,I,I,T,0.4893,,,
213,I,I,T,1.022,,,
214,I,I,T,0.3067,,,
215,I,I,T,0.5239,,,
216,I,I,T,0.4586,,,
217,I,I,T,0.4215,,,
218,N,N,T,0.9002,,,
219,N,Y,F,1.0011,,,
220,I,I,T,0.8762,,,
221,N,N,T,1.8168,,,
222,I,I,T,0.9606,,,
223,N,N,T,1.2308,,,
224,I,I,T,1.0727,,,
225,I,N,F,0.75,,,
226,I,Y,F,0.5632,,,
227,I,I,T,0.9791,,,
228,I,I,T,0.5216,,,
229,I,I,T,0.4511,,,
230,N,N,T,0.8594,,,
231,I,I,T,0.7872,,,
232,I,I,T,1.3969,,,
233,N,N,T,2.9162,,,
234,N,Y,F,1.9602,,,
235,I,I,T,0.4097,,,
236,I,I,T,0.5174,,,
237,I,I,T,0.4506,,,
238,I,I,T,0.382,,,
239,I,I,T,0.3665,,,
240,I,I,T,1.387,,,
241,I,I,T,1.8871,,,
242,I,I,T,0.5535,,,
243,I,I,T,0.646,,,
244,I,I,T,0.4236,,,
245,I,I,T,0.4003,,,
246,I,I,T,0.6282,,,
247,N,N,T,0.9026,,,
248,I,I,T,0.7279,,,
249,N,N,T,0.9415,,,
250,I,Y,F,0.9614,,,
251,I,I,T,0.7509,,,
252,I,N,F,0.7565,,,
253,Y,Y,T,0.7872,,,
254,I,Y,F,1.0185,,,
255,Y,Y,T,0.9628,,,
256,I,I,T,0.7999,,,
257,I,I,T,0.5104,,,
258,I,I,T,0.5254,,,
259,I,I,T,0.3315,,,
260,N,N,T,1.2295,,,
261,I,I,T,1.9122,,,
262,I,I,T,0.6661,,,
263,I,N,F,0.9986,,,
264,Y,Y,T,0.5201,,,
265,N,Y,F,0.3108,,,
266,N,Y,F,0.84,,,
267,I,I,T,0.7367,,,
268,I,I,T,0.3076,,,
269,I,I,T,0.3732,,,
270,I,I,T,0.8775,,,
271,N,N,T,0.7897,,,
272,I,I,T,1.2523,,,
273,I,I,T,1.3983,,,
274,I,I,T,0.9188,,,
275,I,N,F,2.009,,,
276,I,I,T,0.9172,,,
277,I,I,T,0.3362,,,
278,I,I,T,0.4518,,,
279,N,N,T,0.959,,,
280,I,Y,F,0.8744,,,
281,I,I,T,1.4264,,,
282,I,I,T,0.3994,,,
283,I,N,F,0.8459,,,
284,Y,N,F,1.9604,,,
285,I,I,T,1.7288,,,
286,I,I,T,1.1961,,,
287,I,I,T,0.479,,,
288,I,I,T,0.3984,,,
289,N,N,T,0.8244,,,
290,N,Y,F,1.162,,,
291,N,Y,F,1.5391,,,
292,I,I,T,0.8662,,,
293,I,N,F,0.7655,,,
294,I,I,T,1.0963,,,
295,I,I,T,0.6357,,,
296,I,I,T,0.893,,,
297,I,I,T,0.5035,,,
298,I,N,F,0.8236,,,
299,I,I,T,0.857,,,
300,I,I,T,0.9447,,,
301,I,N,F,1.9742,,,
302,I,I,T,0.8546,,,
303,I,I,T,0.3739,,,
304,I,I,T,0.3362,,,
305,I,I,T,0.3611,,,
306,N,N,T,0.7134,,,
307,I,I,T,0.9131,,,
308,I,I,T,0.2917,,,
309,I,I,T,0.369,,,
310,N,N,T,0.9805,,,
311,I,I,T,0.4659,,,
312,I,N,F,0.8658,,,
313,I,I,T,0.6164,,,
314,N,N,T,0.8536,,,
315,I,I,T,0.9232,,,
316,N,N,T,0.9784,,,
317,I,I,T,0.7324,,,
318,I,I,T,0.6698,,,
319,I,I,T,0.328,,,
320,N,I,F,0.7381,,,
321,I,N,F,7.1758,,,
322,Y,Y,T,1.2863,,,
323,I,I,T,0.7186,,,
324,I,I,T,1.6645,,,
325,I,I,T,1.0793,,,
326,I,N,F,2.7086,,,
327,I,I,T,3.0073,,,
328,I,I,T,0.9379,,,
329,N,N,T,2.0618,,,
330,N,Y,F,2.916,,,
331,N,Y,F,1.3427,,,
332,I,I,T,0.6916,,,
333,I,I,T,0.9296,,,
334,I,I,T,0.578,,,
335,I,I,T,0.6769,,,
336,I,Y,F,0.8162,,,
337,N,N,T,1.2068,,,
338,I,I,T,1.2755,,,
339,I,N,F,0.7958,,,
340,I,I,T,1.0263,,,
341,I,I,T,2.1685,,,
342,I,I,T,0.335,,,
343,N,N,T,1.8462,,,
344,N,Y,F,0.742,,,
345,I,I,T,0.4515,,,
346,I,N,F,1.9868,,,
347,I,I,T,1.0834,,,
348,I,I,T,0.3578,,,
349,I,I,T,0.3647,,,
350,I,I,T,0.429,,,
351,N,I,F,0.3827,,,
352,N,Y,F,1.8927,,,
353,N,Y,F,1.0674,,,
354,N,Y,F,0.8057,,,
355,I,I,T,0.5546,,,
356,I,I,T,0.8709,,,
357,I,N,F,0.9191,,,
358,I,I,T,0.8501,,,
359,I,I,T,0.6613,,,
360,I,I,T,0.6212,,,
361,N,N,T,2.773,,,
362,I,I,T,1.0962,,,
363,I,I,T,0.5015,,,
364,I,I,T,0.5385,,,
365,I,I,T,0.3707,,,
366,I,I,T,0.3144,,,
367,I,I,T,0.3463,,,
368,I,I,T,0.9957,,,
369,I,I,T,0.5644,,,
370,I,I,T,0.6586,,,
371,I,I,T,0.4558,,,
372,I,I,T,0.3853,,,
373,N,N,T,0.9988,,,
374,I,Y,F,0.8464,,,
375,I,Y,F,0.3672,,,
376,I,I,T,0.6125,,,
377,N,N,T,1.5623,,,
378,I,I,T,0.7043,,,
379,N,N,T,1.4184,,,
380,I,I,T,0.8988,,,
381,I,I,T,1.8057,,,
382,N,N,T,1.0028,,,
383,N,Y,F,0.5076,,,
384,I,I,T,0.5405,,,
385,I,I,T,0.9769,,,
386,I,I,T,0.5999,,,
387,N,N,T,0.8802,,,
388,I,I,T,0.5715,,,
389,N,N,T,0.8652,,,
390,N,Y,F,1.4398,,,
391,I,I,T,0.6316,,,
392,I,N,F,2.015,,,
393,I,I,T,0.8423,,,
394,I,I,T,0.4864,,,
395,I,I,T,0.6488,,,
396,I,I,T,0.348,,,
397,I,N,F,2.3842,,,
398,I,I,T,1.2006,,,
399,I,I,T,2.7302,,,
400,I,I,T,1.5146,,,
401,I,I,T,1.4783,,,
402,I,N,F,0.7875,,,
403,I,I,T,1.1536,,,
404,I,I,T,0.5165,,,
405,I,N,F,0.646,,,
406,Y,Y,T,0.5948,,,
407,I,I,T,1.2305,,,
408,I,I,T,1.426,,,
409,I,I,T,1.3099,,,
410,I,I,T,0.3439,,,
411,I,I,T,0.4043,,,
412,N,N,T,1.1626,,,
413,I,I,T,1.0051,,,
414,N,I,F,0.7964,,,
415,I,Y,F,1.8585,,,
416,Y,Y,T,1.2909,,,
417,I,I,T,1.0228,,,
418,I,I,T,0.9719,,,
419,I,I,T,0.3987,,,
420,I,I,T,0.8541,,,
421,I,I,T,1.3039,,,
422,N,N,T,1.0655,,,
423,I,I,T,0.7993,,,
424,I,I,T,1.5627,,,
425,I,I,T,0.3506,,,
426,I,I,T,0.4811,,,
427,I,I,T,0.567,,,
428,I,I,T,1.2629,,,
429,I,I,T,0.5865,,,
430,I,N,F,1.3051,,,
431,Y,Y,T,0.5173,,,
432,I,I,T,0.5565,,,
433,I,I,T,1.0259,,,
434,I,I,T,0.3184,,,
435,I,I,T,1.0323,,,
436,N,I,F,0.4445,,,
437,I,I,T,0.6295,,,
438,I,I,T,0.4662,,,
439,I,I,T,0.6061,,,
440,I,N,F,1.4926,,,
441,I,I,T,1.3119,,,
442,I,I,T,0.428,,,
443,I,I,T,0.3649,,,
444,N,N,T,1.0907,,,
445,I,I,T,1.0184,,,
446,N,N,T,1.4038,,,
447,N,Y,F,0.394,,,
448,I,I,T,0.7426,,,
449,I,I,T,0.8855,,,
450,I,N,F,0.8705,,,
451,I,I,T,1.2079,,,
452,I,N,F,0.7073,,,
453,I,I,T,1.086,,,
454,N,N,T,1.3489,,,
455,I,Y,F,0.871,,,
456,I,I,T,0.69,,,
457,N,N,T,1.6725,,,
458,I,I,T,0.8769,,,
459,I,I,T,0.9071,,,
460,I,I,T,1.0811,,,
461,I,I,T,1.2813,,,
462,I,I,T,0.758,,,
463,I,I,T,0.6453,,,
464,I,I,T,0.6628,,,
465,N,N,T,0.9064,,,
466,I,I,T,0.7166,,,
467,I,I,T,0.5651,,,
468,I,I,T,0.4106,,,
469,I,I,T,0.7456,,,
470,I,I,T,0.4536,,,
471,I,I,T,0.8841,,,
472,I,N,F,0.6956,,,
473,I,Y,F,0.3592,,,
474,I,I,T,0.7987,,,
475,I,I,T,1.0349,,,
476,I,I,T,0.2944,,,
477,I,I,T,0.5116,,,
478,N,N,T,2.3751,,,
479,N,Y,F,1.6504,,,
480,I,I,T,0.8179,,,
481,I,I,T,2.7674,,,
482,N,N,T,1.0572,,,
483,N,Y,F,0.7522,,,
484,I,I,T,0.5851,,,
485,I,Y,F,1.7627,,,
486,I,I,T,0.8003,,,
487,I,I,T,1.0704,,,
488,N,N,T,1.1734,,,
489,I,I,T,1.715,,,
490,I,I,T,0.3554,,,
491,I,I,T,0.4694,,,
492,I,I,T,0.5034,,,
493,I,I,T,2.0716,,,
494,I,I,T,0.4706,,,
495,I,N,F,1.1036,,,
496,I,I,T,0.6976,,,
497,I,I,T,1.0945,,,
498,I,I,T,1.27,,,
499,I,I,T,0.7491,,,
500,I,I,T,0.7338,,,
501,I,N,F,2.4298,,,
502,I,I,T,0.6832,,,
503,I,N,F,0.7731,,,
504,I,I,T,1.1817,,,
505,N,N,T,1.7719,,,
506,I,I,T,0.714,,,
507,I,I,T,0.6809,,,
508,I,I,T,0.3964,,,
509,I,I,T,0.2959,,,
510,I,I,T,0.3131,,,
511,I,I,T,0.3972,,,
512,I,I,T,0.3509,,,
513,N,N,T,1.7476,,,
514,N,Y,F,0.361,,,
515,I,I,T,2.1002,,,
516,N,N,T,0.8401,,,
517,I,I,T,0.871,,,
518,I,I,T,0.668,,,
519,I,I,T,0.4487,,,
520,N,N,T,1.1778,,,
521,I,I,T,1.0492,,,
522,N,N,T,1.0299,,,
523,I,I,T,1.1513,,,
524,I,I,T,0.367,,,
525,N,N,T,0.8476,,,
526,I,Y,F,1.1869,,,
527,Y,I,F,0.9893,,,
528,I,N,F,1.1006,,,
529,I,Y,F,0.6315,,,
530,I,I,T,0.8336,,,
531,N,N,T,1.2894,,,
532,I,I,T,0.5643,,,
533,I,I,T,0.343,,,
534,I,I,T,0.4636,,,
535,I,I,T,0.3399,,,
536,N,N,T,1.1017,,,
537,I,I,T,0.8922,,,
538,I,N,F,0.9621,,,
539,I,I,T,0.6734,,,
540,I,I,T,0.6086,,,
541,I,I,T,1.2667,,,
542,I,I,T,0.6456,,,
543,I,I,T,0.509,,,
544,I,I,T,0.3691,,,
545,I,N,F,1.1017,,,
546,I,I,T,1.1908,,,
547,I,I,T,1.4044,,,
548,I,I,T,1.1879,,,
549,I,I,T,0.7379,,,
550,I,I,T,0.2479,,,
551,N,N,T,0.8412,,,
552,I,I,T,1.0356,,,
553,I,I,T,0.4891,,,
554,I,I,T,0.3293,,,
555,I,I,T,0.3815,,,
556,N,I,F,0.5403,,,
557,I,I,T,0.8607,,,
558,I,I,T,0.3662,,,
559,N,N,T,0.9701,,,
560,I,I,T,1.6375,,,
561,I,I,T,1.8482,,,
562,I,I,T,0.4977,,,
563,I,I,T,0.3285,,,
564,I,I,T,0.4885,,,
565,N,N,T,0.6973,,,
566,I,Y,F,0.7743,,,
567,I,I,T,0.7252,,,
568,I,I,T,0.5276,,,
569,I,I,T,0.5516,,,
570,I,I,T,0.5258,,,
571,I,I,T,0.3963,,,
572,I,I,T,0.431,,,
573,I,I,T,0.3585,,,
574,N,I,F,0.5679,,,
575,I,I,T,0.4201,,,
576,N,N,T,0.8499,,,
577,I,I,T,0.8552,,,
578,I,I,T,1.5131,,,
579,I,I,T,0.9688,,,
580,I,I,T,1.8074,,,
581,N,N,T,1.3187,,,
582,I,I,T,0.8716,,,
583,I,I,T,1.0472,,,
584,I,I,T,0.6555,,,
585,I,I,T,0.4257,,,
586,I,I,T,0.419,,,
587,I,I,T,2.2644,,,
588,I,I,T,0.4054,,,
589,I,I,T,0.4376,,,
590,N,N,T,0.9908,,,
591,I,I,T,0.6826,,,
592,I,I,T,0.5408,,,
593,I,I,T,0.5501,,,
594,I,N,F,2.7614,,,
595,Y,Y,T,1.0423,,,
596,I,Y,F,0.7591,,,
597,I,I,T,1.3401,,,
598,N,N,T,0.6391,,,
599,I,I,T,0.7133,,,
600,I,I,T,0.6913,,,
601,I,I,T,2.135,,,
602,I,I,T,1.1354,,,
603,I,I,T,0.32,,,
604,I,I,T,0.3022,,,
605,N,I,F,0.3879,,,
606,I,I,T,0.5334,,,
607,I,I,T,1.3731,,,
608,I,N,F,2.3911,,,
609,I,I,T,0.5775,,,
610,I,N,F,0.8106,,,
611,Y,Y,T,1.6118,,,
612,I,I,T,0.6369,,,
613,I,N,F,0.6296,,,
614,I,I,T,0.8431,,,
615,N,N,T,0.6735,,,
616,I,I,T,0.8014,,,
617,N,N,T,1.1717,,,
618,I,I,T,0.9352,,,
619,I,N,F,1.6006,,,
620,N,N,T,3.364,,,
621,I,I,T,1.9352,,,
622,I,I,T,0.8255,,,
623,I,I,T,0.929,,,
624,I,N,F,0.9995,,,
625,Y,Y,T,1.3567,,,
626,N,Y,F,1.7728,,,
627,I,I,T,1.331,,,
628,N,N,T,0.9535,,,
629,I,I,T,0.6228,,,
630,I,I,T,0.3601,,,
631,I,I,T,0.3278,,,
